model_alias,batch_size,processing_time
distilgpt2-124m,1,0.26766054099425673
distilgpt2-124m,1,0.14449629199225456
distilgpt2-124m,1,0.15558816600241698
distilgpt2-124m,1,0.27710325000225566
distilgpt2-124m,1,0.2485129999986384
distilgpt2-124m,2,0.4122848749975674
distilgpt2-124m,2,0.38881958299316466
distilgpt2-124m,2,0.40232791600283235
distilgpt2-124m,2,0.3654254580033012
distilgpt2-124m,2,0.39402929198695347
distilgpt2-124m,4,0.47443912498420104
distilgpt2-124m,4,0.4391085829993244
distilgpt2-124m,4,0.5334702089894563
distilgpt2-124m,4,0.4648589589924086
distilgpt2-124m,4,0.43906979201710783
distilgpt2-124m,8,0.5978363339963835
distilgpt2-124m,8,0.7556572920002509
distilgpt2-124m,8,0.5579415410174988
distilgpt2-124m,8,0.5585566249792464
distilgpt2-124m,8,0.6038318330247421
distilgpt2-124m,16,0.8901389170205221
distilgpt2-124m,16,0.9857750000082888
distilgpt2-124m,16,0.9647734169848263
distilgpt2-124m,16,1.1694182500068564
distilgpt2-124m,16,1.1485643750056624
