model_alias,batch_size,processing_time,throughput
gpt2-124m,1,1.040838667016942,0.96
gpt2-124m,1,0.41638612502720207,2.4
gpt2-124m,1,0.412927541998215,2.42
gpt2-124m,1,0.35376858297968283,2.83
gpt2-124m,1,0.4848244999884628,2.06
gpt2-124m,1,0.39079754101112485,2.56
gpt2-124m,1,0.41713012498803437,2.4
gpt2-124m,1,0.43672733299899846,2.29
gpt2-124m,1,0.48724904196569696,2.05
gpt2-124m,1,0.39824858302017674,2.51
gpt2-124m,2,0.5355620000045747,3.73
gpt2-124m,2,0.6093468750477768,3.28
gpt2-124m,2,0.6764196250005625,2.96
gpt2-124m,2,0.599115916993469,3.34
gpt2-124m,2,0.6646631660405546,3.01
gpt2-124m,2,0.633786499965936,3.16
gpt2-124m,2,0.7226161669823341,2.77
gpt2-124m,2,0.6968643339932896,2.87
gpt2-124m,2,0.7103123749839142,2.82
gpt2-124m,2,0.7272885419661179,2.75
gpt2-124m,4,0.9048777080024593,4.42
gpt2-124m,4,0.8726676670485176,4.58
gpt2-124m,4,0.7807625000132248,5.12
gpt2-124m,4,0.8656019589980133,4.62
gpt2-124m,4,1.3365082499803975,2.99
gpt2-124m,4,0.9640634580282494,4.15
gpt2-124m,4,1.032333875016775,3.87
gpt2-124m,4,1.0079378749942407,3.97
gpt2-124m,4,0.9548704169574194,4.19
gpt2-124m,4,1.0279568750411272,3.89
gpt2-124m,8,1.5343507080106065,5.21
gpt2-124m,8,1.2083105409983546,6.62
gpt2-124m,8,1.204904040961992,6.64
gpt2-124m,8,1.2484727919800207,6.41
gpt2-124m,8,1.0698549579828978,7.48
gpt2-124m,8,1.2902931250282563,6.2
gpt2-124m,8,1.0782944589736871,7.42
gpt2-124m,8,1.163817667053081,6.87
gpt2-124m,8,1.5287766250548884,5.23
gpt2-124m,8,1.0149204170447774,7.88
gpt2-124m,16,1.533390458964277,10.43
gpt2-124m,16,1.7714670419809408,9.03
gpt2-124m,16,1.803054083022289,8.87
gpt2-124m,16,2.203078375023324,7.26
gpt2-124m,16,2.00275841698749,7.99
gpt2-124m,16,2.7502477079979144,5.82
gpt2-124m,16,3.598420583992265,4.45
gpt2-124m,16,2.3529103750479408,6.8
gpt2-124m,16,4.4762187079759315,3.57
gpt2-124m,16,4.446243583981413,3.6
gpt2-124m,32,6.678246833034791,4.79
gpt2-124m,32,6.400482749973889,5.0
gpt2-124m,32,4.825205750006717,6.63
gpt2-124m,32,4.942755584022962,6.47
gpt2-124m,32,5.274619833973702,6.07
gpt2-124m,32,5.177383250033017,6.18
gpt2-124m,32,5.809260790992994,5.51
gpt2-124m,32,6.5202285420382395,4.91
gpt2-124m,32,4.684763416997157,6.83
gpt2-124m,32,4.6609442079789005,6.87
distilgpt2-124m,1,0.738223291002214,1.35
distilgpt2-124m,1,0.30932262499118224,3.23
distilgpt2-124m,1,0.22275562497088686,4.49
distilgpt2-124m,1,0.2834399589919485,3.53
distilgpt2-124m,1,0.33789754199096933,2.96
distilgpt2-124m,1,0.2786653750226833,3.59
distilgpt2-124m,1,0.300893375009764,3.32
distilgpt2-124m,1,0.29353320895461366,3.41
distilgpt2-124m,1,0.2487796669593081,4.02
distilgpt2-124m,1,0.2741069160401821,3.65
distilgpt2-124m,2,0.4760996660334058,4.2
distilgpt2-124m,2,0.49354670802131295,4.05
distilgpt2-124m,2,0.4506044579902664,4.44
distilgpt2-124m,2,0.40937241696519777,4.89
distilgpt2-124m,2,0.5098739169770852,3.92
distilgpt2-124m,2,0.5130758340237662,3.9
distilgpt2-124m,2,0.45731595798861235,4.37
distilgpt2-124m,2,0.3940816249814816,5.08
distilgpt2-124m,2,0.560713000013493,3.57
distilgpt2-124m,2,0.4489896659506485,4.45
distilgpt2-124m,4,0.5382846249849536,7.43
distilgpt2-124m,4,0.5371997919864953,7.45
distilgpt2-124m,4,0.5960451669525355,6.71
distilgpt2-124m,4,0.5776686250464991,6.92
distilgpt2-124m,4,0.5529479999677278,7.23
distilgpt2-124m,4,0.6117057079682127,6.54
distilgpt2-124m,4,0.535822958976496,7.47
distilgpt2-124m,4,0.5045910000335425,7.93
distilgpt2-124m,4,0.7050108329858631,5.67
distilgpt2-124m,4,0.5876596249872819,6.81
distilgpt2-124m,8,1.0682319999905303,7.49
distilgpt2-124m,8,0.8639199580065906,9.26
distilgpt2-124m,8,0.9479384999722242,8.44
distilgpt2-124m,8,0.8288979170029052,9.65
distilgpt2-124m,8,0.8217552500427701,9.74
distilgpt2-124m,8,0.7532725420314819,10.62
distilgpt2-124m,8,0.7789187090238556,10.27
distilgpt2-124m,8,0.7422471250174567,10.78
distilgpt2-124m,8,0.8216037499951199,9.74
distilgpt2-124m,8,0.8266789590124972,9.68
distilgpt2-124m,16,1.3616000000038184,11.75
distilgpt2-124m,16,1.1910655419924296,13.43
distilgpt2-124m,16,1.2601249580038711,12.7
distilgpt2-124m,16,2.0862371659604833,7.67
distilgpt2-124m,16,1.9161042080377229,8.35
distilgpt2-124m,16,1.489588874974288,10.74
distilgpt2-124m,16,1.4971761250053532,10.69
distilgpt2-124m,16,1.2515112920082174,12.78
distilgpt2-124m,16,2.3524143339600414,6.8
distilgpt2-124m,16,1.7286713340436108,9.26
distilgpt2-124m,32,3.045868541987147,10.51
distilgpt2-124m,32,3.5456612500129268,9.03
distilgpt2-124m,32,2.787149792013224,11.48
distilgpt2-124m,32,3.9047765829600394,8.2
distilgpt2-124m,32,4.351568292011507,7.35
distilgpt2-124m,32,3.2834968339884654,9.75
distilgpt2-124m,32,3.1019505000440404,10.32
distilgpt2-124m,32,3.1730316250468604,10.08
distilgpt2-124m,32,3.086514000024181,10.37
distilgpt2-124m,32,6.020972250029445,5.31
gptneo-125m,1,1.0350064999656752,0.97
gptneo-125m,1,0.4053279160289094,2.47
gptneo-125m,1,0.39008816704154015,2.56
gptneo-125m,1,0.3847400420345366,2.6
gptneo-125m,1,0.377859125030227,2.65
gptneo-125m,1,0.3995515829883516,2.5
gptneo-125m,1,0.3879380830330774,2.58
gptneo-125m,1,0.5049182919901796,1.98
gptneo-125m,1,0.38849033298902214,2.57
gptneo-125m,1,0.38511695800116286,2.6
gptneo-125m,2,1.387099958024919,1.44
gptneo-125m,2,1.378169167030137,1.45
gptneo-125m,2,1.440554833970964,1.39
gptneo-125m,2,1.3781952080316842,1.45
gptneo-125m,2,1.466276207996998,1.36
gptneo-125m,2,1.534419582982082,1.3
gptneo-125m,2,1.6727495840168558,1.2
gptneo-125m,2,1.6292018329841085,1.23
gptneo-125m,2,1.72164950001752,1.16
gptneo-125m,2,1.7995677909930237,1.11
gptneo-125m,4,1.7653365000151098,2.27
gptneo-125m,4,1.9136698749498464,2.09
gptneo-125m,4,1.7750577090191655,2.25
gptneo-125m,4,1.7250880829524249,2.32
gptneo-125m,4,1.6875812920043245,2.37
gptneo-125m,4,2.1135519170202315,1.89
gptneo-125m,4,1.8913392090471461,2.11
gptneo-125m,4,1.8246815419988707,2.19
gptneo-125m,4,1.8024890000233427,2.22
gptneo-125m,4,1.7796660420135595,2.25
gptneo-125m,8,1.8342336249770597,4.36
gptneo-125m,8,2.2458643339923583,3.56
gptneo-125m,8,2.071475874981843,3.86
gptneo-125m,8,2.752510624995921,2.91
gptneo-125m,8,2.3959633330232464,3.34
gptneo-125m,8,1.7735897920210846,4.51
gptneo-125m,8,2.3005217920290306,3.48
gptneo-125m,8,2.179374583007302,3.67
gptneo-125m,8,2.6276072500040755,3.04
gptneo-125m,8,1.9451358750229701,4.11
gptneo-125m,16,2.893101125024259,5.53
gptneo-125m,16,3.0964658749871887,5.17
gptneo-125m,16,2.856240249995608,5.6
gptneo-125m,16,2.6582252500229515,6.02
gptneo-125m,16,3.091191749961581,5.18
gptneo-125m,16,3.2857310000108555,4.87
gptneo-125m,16,3.057913833006751,5.23
gptneo-125m,16,4.261072041001171,3.75
gptneo-125m,16,2.392647584027145,6.69
gptneo-125m,16,5.131368291971739,3.12
gptneo-125m,32,9.408136459009256,3.4
gptneo-125m,32,6.477868416986894,4.94
gptneo-125m,32,5.094096582964994,6.28
gptneo-125m,32,6.5092190830037,4.92
gptneo-125m,32,5.295604458020534,6.04
gptneo-125m,32,5.652867750031874,5.66
gptneo-125m,32,7.847891499986872,4.08
gptneo-125m,32,6.410743790969718,4.99
gptneo-125m,32,6.268964666989632,5.1
gptneo-125m,32,10.148150584020186,3.15
gpt2medium-355m,1,2.916029999963939,0.34
gpt2medium-355m,1,1.2836781670339406,0.78
gpt2medium-355m,1,1.126473292009905,0.89
gpt2medium-355m,1,1.1511599169461988,0.87
gpt2medium-355m,1,1.2013934580027126,0.83
gpt2medium-355m,1,1.1869436249835417,0.84
gpt2medium-355m,1,1.2175855829846114,0.82
gpt2medium-355m,1,1.239482625038363,0.81
gpt2medium-355m,1,1.2831182079971768,0.78
gpt2medium-355m,1,1.1320302920066752,0.88
gpt2medium-355m,2,3.1791327919927426,0.63
gpt2medium-355m,2,2.6880167499766685,0.74
gpt2medium-355m,2,2.716372541966848,0.74
gpt2medium-355m,2,2.8029585420154035,0.71
gpt2medium-355m,2,2.8541622079792432,0.7
gpt2medium-355m,2,2.939712374994997,0.68
gpt2medium-355m,2,2.845820167043712,0.7
gpt2medium-355m,2,2.857976624974981,0.7
gpt2medium-355m,2,2.7991827499936335,0.71
gpt2medium-355m,2,2.9284697080147453,0.68
gpt2medium-355m,4,3.295205625006929,1.21
gpt2medium-355m,4,3.4625133750378154,1.16
gpt2medium-355m,4,3.833928541978821,1.04
gpt2medium-355m,4,3.5493843750446104,1.13
gpt2medium-355m,4,3.621976707945578,1.1
gpt2medium-355m,4,3.0827078329748474,1.3
gpt2medium-355m,4,3.3632450829609297,1.19
gpt2medium-355m,4,4.583175083971582,0.87
gpt2medium-355m,4,3.9253880829783157,1.02
gpt2medium-355m,4,3.056662957998924,1.31
gpt2medium-355m,8,4.104240667016711,1.95
gpt2medium-355m,8,4.768030333041679,1.68
gpt2medium-355m,8,5.540947041998152,1.44
gpt2medium-355m,8,3.9538981660152785,2.02
gpt2medium-355m,8,4.035315541026648,1.98
gpt2medium-355m,8,10.025038041989319,0.8
gpt2medium-355m,8,4.7644850829965435,1.68
gpt2medium-355m,8,4.762285167002119,1.68
gpt2medium-355m,8,4.355081624991726,1.84
gpt2medium-355m,8,3.852340582991019,2.08
gpt2medium-355m,16,8.412649041973054,1.9
gpt2medium-355m,16,6.837101167009678,2.34
gpt2medium-355m,16,6.664518916979432,2.4
gpt2medium-355m,16,8.559903417015448,1.87
gpt2medium-355m,16,10.171713625022676,1.57
gpt2medium-355m,16,13.95530041703023,1.15
gpt2medium-355m,16,10.088967540999874,1.59
gpt2medium-355m,16,14.596570707974024,1.1
gpt2medium-355m,16,8.755873542046174,1.83
gpt2medium-355m,16,8.542408458015416,1.87
gpt2medium-355m,32,14.188770666019991,2.26
gpt2medium-355m,32,14.962931041023694,2.14
gpt2medium-355m,32,26.600908333959524,1.2
gpt2medium-355m,32,14.526890917040873,2.2
gpt2medium-355m,32,14.398767458973452,2.22
gpt2medium-355m,32,21.18801787501434,1.51
gpt2medium-355m,32,14.311090791015886,2.24
gpt2medium-355m,32,13.118390124989673,2.44
gpt2medium-355m,32,12.814456708030775,2.5
gpt2medium-355m,32,26.3648433330236,1.21
