model_alias,batch_size,processing_time,throughput
gpt2-124m,1,1.2337300830113236,0.811
gpt2-124m,1,0.37522241700207815,2.665
gpt2-124m,1,0.38850962498690933,2.574
gpt2-124m,1,0.36169774999143556,2.765
gpt2-124m,1,0.3623239579901565,2.76
gpt2-124m,2,0.5341239160043187,3.744
gpt2-124m,2,0.5322515419975389,3.758
gpt2-124m,2,0.5946528330096044,3.363
gpt2-124m,2,0.5386214999889489,3.713
gpt2-124m,2,0.5420969999977387,3.689
gpt2-124m,4,0.6743978330050595,5.931
gpt2-124m,4,0.5868189169850666,6.816
gpt2-124m,4,0.7485280419932678,5.344
gpt2-124m,4,0.7721889589738566,5.18
gpt2-124m,4,0.5817996250116266,6.875
gpt2-124m,8,0.8817688330018427,9.073
gpt2-124m,8,1.1117179169959854,7.196
gpt2-124m,8,0.7373521670233458,10.85
gpt2-124m,8,0.771201541996561,10.373
gpt2-124m,8,0.8820807499869261,9.069
gpt2-124m,16,1.319670083001256,12.124
gpt2-124m,16,1.4117636670125648,11.333
gpt2-124m,16,1.4170436249987688,11.291
gpt2-124m,16,1.8643413750105537,8.582
gpt2-124m,16,1.5535801670048386,10.299
gpt2-124m,32,2.246106292004697,14.247
gpt2-124m,32,3.5622552919958252,8.983
gpt2-124m,32,2.594408165983623,12.334
gpt2-124m,32,2.520300915988628,12.697
gpt2-124m,32,3.4504229580052197,9.274
gpt2-124m,64,6.7692306250100955,9.455
gpt2-124m,64,6.474399166996591,9.885
gpt2-124m,64,5.629464958998142,11.369
gpt2-124m,64,5.7495221660065,11.131
gpt2-124m,64,6.822291250020498,9.381
gpt2-124m,128,13.4010575839784,9.551
gpt2-124m,128,13.610353750002105,9.405
gpt2-124m,128,11.334609790996183,11.293
gpt2-124m,128,13.513983249984449,9.472
gpt2-124m,128,11.39852170800441,11.23
gpt2-124m,256,27.65863295798772,9.256
gpt2-124m,256,27.39501083298819,9.345
gpt2-124m,256,25.661409499996807,9.976
gpt2-124m,256,27.85891120802262,9.189
gpt2-124m,256,29.154282667004736,8.781
distilgpt2-124m,1,0.7120317500084639,1.404
distilgpt2-124m,1,0.275346417009132,3.632
distilgpt2-124m,1,0.03242991701699793,30.836
distilgpt2-124m,1,0.28429250000044703,3.518
distilgpt2-124m,1,0.2838207080203574,3.523
distilgpt2-124m,2,0.4067203750018962,4.917
distilgpt2-124m,2,0.4010359999956563,4.987
distilgpt2-124m,2,0.4294202500022948,4.657
distilgpt2-124m,2,0.4517823339847382,4.427
distilgpt2-124m,2,0.39085654201335274,5.117
distilgpt2-124m,4,0.4883447920146864,8.191
distilgpt2-124m,4,0.456462542002555,8.763
distilgpt2-124m,4,0.49825783298001625,8.028
distilgpt2-124m,4,0.4896563329966739,8.169
distilgpt2-124m,4,0.4775918750092387,8.375
distilgpt2-124m,8,0.5685302920173854,14.071
distilgpt2-124m,8,0.763824666995788,10.474
distilgpt2-124m,8,0.588724542001728,13.589
distilgpt2-124m,8,0.6768811669899151,11.819
distilgpt2-124m,8,0.573338332993444,13.953
distilgpt2-124m,16,0.8892244590097107,17.993
distilgpt2-124m,16,0.9534150410036091,16.782
distilgpt2-124m,16,0.8999103750102222,17.78
distilgpt2-124m,16,0.9487156249815598,16.865
distilgpt2-124m,16,1.0548326669959351,15.168
distilgpt2-124m,32,2.040318750019651,15.684
distilgpt2-124m,32,2.1617820829851553,14.803
distilgpt2-124m,32,2.342279917007545,13.662
distilgpt2-124m,32,2.0452578749973327,15.646
distilgpt2-124m,32,2.3145762080093846,13.825
