model_alias,batch_size,processing_time,throughput
gpt2-124m,1,1.0334259690134786,0.968
gpt2-124m,1,0.24664494401076809,4.054
gpt2-124m,1,0.249573485009023,4.007
gpt2-124m,1,0.2349377659993479,4.256
gpt2-124m,1,0.24780649099557195,4.035
gpt2-124m,1,0.2381746120081516,4.199
gpt2-124m,1,0.2514286029909272,3.977
gpt2-124m,1,0.017965595005080104,55.662
gpt2-124m,1,0.2340887489990564,4.272
gpt2-124m,1,0.24730873199587222,4.044
gpt2-124m,2,0.26702609000494704,7.49
gpt2-124m,2,0.2740542100073071,7.298
gpt2-124m,2,0.26081038200936746,7.668
gpt2-124m,2,0.2606189890066162,7.674
gpt2-124m,2,0.26623253100842703,7.512
gpt2-124m,4,0.2672544060042128,14.967
gpt2-124m,4,0.2846277100034058,14.053
gpt2-124m,4,0.26613691900274716,15.03
gpt2-124m,4,0.2664759319886798,15.011
gpt2-124m,4,0.2822666479914915,14.171
gpt2-124m,8,0.2760605299990857,28.979
gpt2-124m,8,0.2834654939942993,28.222
gpt2-124m,8,0.28499383700545877,28.071
gpt2-124m,8,0.26655654699425213,30.012
gpt2-124m,8,0.26927099098975305,29.71
gpt2-124m,16,0.271171589003643,59.003
gpt2-124m,16,0.27641822199802846,57.883
gpt2-124m,16,0.2894838770007482,55.271
gpt2-124m,16,0.27101924701128155,59.036
gpt2-124m,16,0.27235026699781884,58.748
gpt2-124m,32,0.2961307819932699,108.06
gpt2-124m,32,0.2939580410020426,108.859
gpt2-124m,32,0.30887728299421724,103.601
gpt2-124m,32,0.28818923998915125,111.038
gpt2-124m,32,0.29724184900987893,107.656
gpt2-124m,64,0.32892612600699067,194.573
gpt2-124m,64,0.3466927480039885,184.601
gpt2-124m,64,0.36215669800003525,176.719
gpt2-124m,64,0.35840143499081023,178.571
gpt2-124m,64,0.3380369760125177,189.328
gpt2-124m,128,0.43079762801062316,297.123
gpt2-124m,128,0.4123668579995865,310.403
gpt2-124m,128,0.4223351789987646,303.077
gpt2-124m,128,0.42778092599473894,299.219
gpt2-124m,128,0.3974340660060989,322.066
gpt2-124m,256,0.716164787998423,357.46
gpt2-124m,256,0.7182364479958778,356.429
gpt2-124m,256,0.6745541889977176,379.51
gpt2-124m,256,0.7224443279992556,354.353
gpt2-124m,256,0.7177740609913599,356.658
distilgpt2-124m,1,0.12490860899561085,8.006
distilgpt2-124m,1,0.1651507279893849,6.055
distilgpt2-124m,1,0.1562060699943686,6.402
distilgpt2-124m,1,0.1655860750033753,6.039
distilgpt2-124m,1,0.16514719900442287,6.055
distilgpt2-124m,1,0.1660714619938517,6.022
distilgpt2-124m,1,0.16618863599433098,6.017
distilgpt2-124m,1,0.010306636992027052,97.025
distilgpt2-124m,1,0.012845012010075152,77.851
distilgpt2-124m,1,0.16471478399762418,6.071
distilgpt2-124m,2,0.172237459992175,11.612
distilgpt2-124m,2,0.17169904100592248,11.648
distilgpt2-124m,2,0.17837086600775365,11.213
distilgpt2-124m,2,0.1734415069950046,11.531
distilgpt2-124m,2,0.1722241379902698,11.613
distilgpt2-124m,4,0.18966113700298592,21.09
distilgpt2-124m,4,0.17767947500396986,22.512
distilgpt2-124m,4,0.17610373500792775,22.714
distilgpt2-124m,4,0.18753457600541878,21.329
distilgpt2-124m,4,0.17585708999831695,22.746
distilgpt2-124m,8,0.1824032729928149,43.859
distilgpt2-124m,8,0.18984821700723842,42.139
distilgpt2-124m,8,0.18995743000414222,42.115
distilgpt2-124m,8,0.19567997299600393,40.883
distilgpt2-124m,8,0.1810826930013718,44.179
distilgpt2-124m,16,0.1925837469898397,83.081
distilgpt2-124m,16,0.18103301301016472,88.382
distilgpt2-124m,16,0.18599790500593372,86.022
distilgpt2-124m,16,0.18446660299377982,86.737
distilgpt2-124m,16,0.18358073900162708,87.155
distilgpt2-124m,32,0.19339219899848104,165.467
distilgpt2-124m,32,0.2030582459992729,157.59
distilgpt2-124m,32,0.2103871099971002,152.101
distilgpt2-124m,32,0.20740625700273085,154.287
distilgpt2-124m,32,0.20001597100053914,159.987
distilgpt2-124m,64,0.24192501499783248,264.545
distilgpt2-124m,64,0.23142487699806225,276.548
distilgpt2-124m,64,0.2313147639943054,276.679
distilgpt2-124m,64,0.24249350299942307,263.925
distilgpt2-124m,64,0.2394735209963983,267.253
distilgpt2-124m,128,0.306674760999158,417.38
distilgpt2-124m,128,0.29812472000776324,429.351
distilgpt2-124m,128,0.30082905798917636,425.491
distilgpt2-124m,128,0.29967973299790174,427.123
distilgpt2-124m,128,0.30865781000466086,414.699
distilgpt2-124m,256,0.4965718890016433,515.535
distilgpt2-124m,256,0.4779861469869502,535.58
distilgpt2-124m,256,0.4988233010080876,513.208
distilgpt2-124m,256,0.5033695960009936,508.573
distilgpt2-124m,256,0.46771023100882303,547.347
gptneo-125m,1,0.2991192339977715,3.343
gptneo-125m,1,0.2757158329914091,3.627
gptneo-125m,1,0.30678760301088914,3.26
gptneo-125m,1,0.29397360399889294,3.402
gptneo-125m,1,0.27719873399473727,3.608
gptneo-125m,1,0.28752824298862834,3.478
