model_alias,batch_size,processing_time,throughput
gpt2-124m,512,1.8742976860085037,273.17
gpt2-124m,512,1.308618387003662,391.25
gpt2-124m,512,1.3067905830102973,391.8
gpt2-124m,512,1.3072348080168013,391.67
gpt2-124m,512,1.2940748329856433,395.65
gpt2-124m,1024,2.4327283739985432,420.93
gpt2-124m,1024,2.4638108420185745,415.62
gpt2-124m,1024,2.4372551559936255,420.14
gpt2-124m,1024,2.464944817998912,415.43
gpt2-124m,1024,2.432501460018102,420.97
gpt2-124m,2048,4.796208870015107,427.0
gpt2-124m,2048,4.769908949005185,429.36
gpt2-124m,2048,4.771149504987989,429.25
gpt2-124m,2048,4.860870261996752,421.32
gpt2-124m,2048,4.861441538989311,421.27
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,512,12.789191162999487,40.03
gpt2-124m,512,41.13636402899283,12.45
gpt2-124m,512,42.15324005999719,12.15
gpt2-124m,512,42.30058587799431,12.1
gpt2-124m,512,41.837521135021234,12.24
gpt2-124m,512,42.408181684993906,12.07
gpt2-124m,512,41.434236242988845,12.36
gpt2-124m,512,42.8133580039721,11.96
gpt2-124m,512,42.68552809598623,11.99
gpt2-124m,512,42.507455537008354,12.04
gpt2-124m,512,42.70930901702377,11.99
gpt2-124m,512,42.64587013301207,12.01
gpt2-124m,512,42.4444013510074,12.06
gpt2-124m,512,41.4931614829984,12.34
gpt2-124m,512,42.29947177399299,12.1
gpt2-124m,512,42.38463577901712,12.08
gpt2-124m,512,41.99131863398361,12.19
gpt2-124m,512,42.149562826991314,12.15
gpt2-124m,512,42.219143026013626,12.13
gpt2-124m,512,41.65853587401216,12.29
gpt2-124m,512,42.52148760302225,12.04
gpt2-124m,512,41.92465665700729,12.21
gpt2-124m,512,41.49504946899833,12.34
gpt2-124m,512,42.02408991099219,12.18
gpt2-124m,512,42.25928996398579,12.12
gpt2-124m,512,42.114837593981065,12.16
gpt2-124m,512,41.41863087497768,12.36
gpt2-124m,512,41.762770154018654,12.26
gpt2-124m,512,42.16145822202088,12.14
gpt2-124m,512,41.24857822898775,12.41
gpt2-124m,512,42.342593412991846,12.09
gpt2-124m,512,41.80464692800888,12.25
gpt2-124m,512,43.370809841988375,11.81
gpt2-124m,512,43.36085492299753,11.81
gpt2-124m,512,41.37361337899347,12.38
gpt2-124m,512,42.40693388899672,12.07
gpt2-124m,512,42.97591794701293,11.91
gpt2-124m,512,41.18302707799012,12.43
gpt2-124m,512,42.83112142101163,11.95
gpt2-124m,512,42.44734041101765,12.06
gpt2-124m,512,41.875430813001,12.23
gpt2-124m,512,44.89918103101081,11.4
gpt2-124m,512,29.390683382982388,17.42
gpt2-124m,512,29.199882768007228,17.53
gpt2-124m,512,29.032226437004283,17.64
gpt2-124m,512,28.905287920002593,17.71
gpt2-124m,512,29.44197025799076,17.39
gpt2-124m,512,29.575185662019067,17.31
gpt2-124m,512,29.364636121987132,17.44
gpt2-124m,512,28.99242985199089,17.66
gpt2-124m,512,29.61644984598388,17.29
gpt2-124m,512,29.716551479010377,17.23
gpt2-124m,512,28.682633129996248,17.85
gpt2-124m,512,29.251872872002423,17.5
gpt2-124m,512,29.765644911996787,17.2
gpt2-124m,512,29.52438612500555,17.34
gpt2-124m,512,29.594766805006657,17.3
gpt2-124m,512,29.442829409992555,17.39
gpt2-124m,512,28.94161851500394,17.69
gpt2-124m,512,29.130319201998645,17.58
gpt2-124m,512,29.270300150004914,17.49
gpt2-124m,512,29.478323343006196,17.37
gpt2-124m,512,29.269203084986657,17.49
gpt2-124m,512,29.213723581982777,17.53
gpt2-124m,512,28.828780114999972,17.76
gpt2-124m,512,29.566933246998815,17.32
gpt2-124m,512,28.74162255198462,17.81
gpt2-124m,512,28.678972481022356,17.85
gpt2-124m,512,30.341924510983517,16.87
gpt2-124m,512,21.95666942599928,23.32
gpt2-124m,512,22.113210473995423,23.15
gpt2-124m,512,21.913824578979984,23.36
gpt2-124m,512,22.07369836498401,23.2
gpt2-124m,512,22.115577047981787,23.15
gpt2-124m,512,22.21156098198844,23.05
gpt2-124m,512,22.327327825012617,22.93
gpt2-124m,512,22.251098613021895,23.01
gpt2-124m,512,22.570959814998787,22.68
gpt2-124m,512,22.575718299980508,22.68
gpt2-124m,512,22.426437451998936,22.83
gpt2-124m,512,22.283670087024802,22.98
gpt2-124m,512,22.6486648459977,22.61
gpt2-124m,512,22.428777555993292,22.83
gpt2-124m,512,22.762696793011855,22.49
gpt2-124m,512,22.963085300987586,22.3
gpt2-124m,512,22.48596726200776,22.77
gpt2-124m,512,22.527206694998313,22.73
gpt2-124m,512,22.56114123799489,22.69
gpt2-124m,512,23.73487101099454,21.57
gpt2-124m,512,0.8633215430018026,593.06
gpt2-124m,512,1.8153364720055833,282.04
gpt2-124m,512,1.308797884004889,391.2
gpt2-124m,1024,2.460857992991805,416.12
gpt2-124m,1024,2.5980432340002153,394.14
gpt2-124m,1024,2.4609259360004216,416.1
gpt2-124m,1024,2.4668119870184455,415.11
gpt2-124m,1024,2.4528042130114045,417.48
gpt2-124m,2048,4.833142206975026,423.74
gpt2-124m,2048,4.8481648759916425,422.43
gpt2-124m,2048,4.766744282998843,429.64
gpt2-124m,2048,4.946177030011313,414.06
gpt2-124m,2048,4.80859882599907,425.9
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
gpt2-124m,4096,None,None
