request_id,latency,batch_size,model
40c08bc0,9.150561042002664,4,gpt2medium-355m
a27ec791,8.952832333001425,4,gpt2medium-355m
91efd836,8.512159083002189,4,gpt2medium-355m
e514cb6d,7.685342000000674,4,gpt2medium-355m
e014a15e,11.49849866599834,9,gpt2-124m
9086ac84,11.273858415999712,9,gpt2-124m
ceca2ba0,10.975213749999966,9,gpt2-124m
677a72e4,10.291504500000883,9,gpt2-124m
c3972197,10.216056416000356,9,gpt2-124m
31253685,9.48287120799796,9,gpt2-124m
a922e733,8.424647749998257,9,gpt2-124m
1b41a611,7.5235194159977254,9,gpt2-124m
44bcf20f,4.862810291000642,9,gpt2-124m
6877,1.9633583329996327,9,gpt2-124m
c3fe,1.9633547909979825,9,gpt2-124m
a543,1.9633525409990398,9,gpt2-124m
13e8,1.963350582998828,9,gpt2-124m
d637,1.9633483329998853,9,gpt2-124m
8a8f,1.9633465410006465,9,gpt2-124m
8108,1.9633449579996523,9,gpt2-124m
606a565a,12.467430584001704,7,distilgpt2-124m
e3ef8732,12.42139270899861,7,distilgpt2-124m
17f09437,11.948420583998086,7,distilgpt2-124m
37410d28,10.250588041999436,7,distilgpt2-124m
901b4b92,7.993916499999614,7,distilgpt2-124m
ab71f4b3,2.0645222089988238,7,distilgpt2-124m
dab6db3f,1.2684607500013954,7,distilgpt2-124m
023e,1.017843958998128,7,distilgpt2-124m
20e0e15e,8.701385583000956,4,gpt2-124m
11130153,6.825996791001671,4,gpt2-124m
797316b4,3.627401290999842,4,gpt2-124m
9416c881,2.639341375001095,4,gpt2-124m
b35e2909,14.94854962500176,12,distilgpt2-124m
45a70699,9.169297667001956,12,distilgpt2-124m
93145768,7.2716663330029405,12,distilgpt2-124m
11df9f30,7.011390292002034,12,distilgpt2-124m
5e167166,6.268986708000739,12,distilgpt2-124m
21558b06,6.106257999999798,12,distilgpt2-124m
196a7e12,5.668218833001447,12,distilgpt2-124m
f1a0e439,5.409135208003136,12,distilgpt2-124m
10a05053,5.1121589169997605,12,distilgpt2-124m
21c07a78,4.759687458001281,12,distilgpt2-124m
c00deade,4.526011208003183,12,distilgpt2-124m
ce3bba27,1.255882000001293,12,distilgpt2-124m
8cf8,1.2474829580023652,12,distilgpt2-124m
637b,1.2474725419997412,12,distilgpt2-124m
588f,1.2474671250020037,12,distilgpt2-124m
a8ad,1.2474620000029972,12,distilgpt2-124m
e687d7d3,10.046671665997565,7,gpt2-124m
d72bcc95,9.520478415997786,7,gpt2-124m
9b07b547,9.50590100000045,7,gpt2-124m
3f354f87,8.963853124998423,7,gpt2-124m
fed39d91,4.682590374999563,7,gpt2-124m
763e555e,3.4345682079983817,7,gpt2-124m
fe475ac7,1.8644473749991448,7,gpt2-124m
ab3a,1.3000046249981096,7,gpt2-124m
ba228a4b,30.256117416996858,13,gpt2medium-355m
4b5e200e,29.55129416699856,13,gpt2medium-355m
d960113f,29.07547558299848,13,gpt2medium-355m
cf2ff4d2,28.207407832996978,13,gpt2medium-355m
a654f233,24.914577291998285,13,gpt2medium-355m
609f8dac,24.329335708000144,13,gpt2medium-355m
a842e809,24.252411957997538,13,gpt2medium-355m
4665434e,23.14015549999749,13,gpt2medium-355m
9b1da7b3,22.154860707996704,13,gpt2medium-355m
e65c6a47,21.827051249998476,13,gpt2medium-355m
f9da13ee,20.906176332999166,13,gpt2medium-355m
8918a6b6,19.37117387499893,13,gpt2medium-355m
53c75138,14.527200791999348,13,gpt2medium-355m
0388,6.824662291997811,13,gpt2medium-355m
531d,6.824641166997026,13,gpt2medium-355m
4f57,6.8246287499969185,13,gpt2medium-355m
