request_id,latency,batch_size,model
c76dba64,5.603922459005844,4,gpt2-124m
40a48ebb,3.1263486669631675,4,gpt2-124m
4826b42f,1.9461166249820963,4,gpt2-124m
3dd7b421,0.8382952499669045,4,gpt2-124m
7b1d6076,9.647045624966267,1,gpt2medium-355m
66f6,4.70548379200045,1,gpt2medium-355m
2d37,4.705455792020075,1,gpt2medium-355m
8e74,4.705439999990631,1,gpt2medium-355m
525211a3,7.778121749986894,3,distilgpt2-124m
10c884e9,5.954620250035077,3,distilgpt2-124m
4268eaf5,3.0832637090352364,3,distilgpt2-124m
1e41,1.307776959030889,3,distilgpt2-124m
1fb6eb78,5.959834249981213,2,gpt2-124m
17d39a65,3.0372062499518506,2,gpt2-124m
67cc,1.0317048750002868,2,gpt2-124m
f94b,1.0316779589629732,2,gpt2-124m
5f0a6d47,13.603979667008389,3,gpt2medium-355m
a4972848,11.064680874987971,3,gpt2medium-355m
62470c1e,7.764856750029139,3,gpt2medium-355m
ba3a,2.804967917036265,3,gpt2medium-355m
2f61a7ba,6.543433292012196,1,distilgpt2-124m
773b,0.7677506670006551,1,distilgpt2-124m
b266,0.7677475829841569,1,distilgpt2-124m
a9e8,0.7677454579970799,1,distilgpt2-124m
