request_id,model,batch_size,latency,throughput
fd082a11,gpt2medium-355m,1,1.8986960420006653,0.559
97e7eda5,gpt2medium-355m,1,1.0210776669991901,2.244
6ae02dfb,gpt2-124m,1,0.8374736669939011,1.359
de7fb51a,distilgpt2-124m,1,0.6312857079901733,1.836
452fc6c2,gpt2-124m,1,0.8663808330020402,1.25
b05dea2e,gpt2medium-355m,1,2.379633250006009,0.449
495f9316,gpt2medium-355m,1,2.193766875003348,0.479
74f4e7e1,gpt2-124m,1,0.9672096670110477,1.136
7d4fdeb3,gpt2-124m,1,1.093119499986642,1.216
5d5a8eab,distilgpt2-124m,1,1.0996804580063326,1.648
1e8c0646,gpt2medium-355m,1,2.8772571250010515,0.414
9b8f5010,distilgpt2-124m,1,1.9087247919960646,1.748
