request_id,arrival time,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
5270c9bc,2024-09-18 13:13:32,2024-09-18 13:13:38,gpt2medium-355m,4,5.477,4.717,0.848
c04ebf3e,2024-09-18 13:13:32,2024-09-18 13:13:38,gpt2medium-355m,4,5.325,4.717,0.848
da110fc7,2024-09-18 13:13:33,2024-09-18 13:13:38,gpt2medium-355m,4,4.929,4.717,0.848
21e8df6a,2024-09-18 13:13:33,2024-09-18 13:13:38,gpt2medium-355m,4,4.875,4.717,0.848
369f1ccd,2024-09-18 13:13:37,2024-09-18 13:13:40,gpt2-124m,4,3.075,2.18,1.835
b7671164,2024-09-18 13:13:37,2024-09-18 13:13:40,gpt2-124m,4,2.969,2.18,1.835
c1e41940,2024-09-18 13:13:37,2024-09-18 13:13:40,gpt2-124m,4,2.856,2.18,1.835
e3ec9173,2024-09-18 13:13:37,2024-09-18 13:13:40,gpt2-124m,4,2.803,2.18,1.835
44411546,2024-09-18 13:13:36,2024-09-18 13:13:41,distilgpt2-124m,4,5.229,1.63,2.454
24a56eb1,2024-09-18 13:13:36,2024-09-18 13:13:41,distilgpt2-124m,4,5.013,1.63,2.454
5f52f537,2024-09-18 13:13:37,2024-09-18 13:13:41,distilgpt2-124m,4,4.458,1.63,2.454
e65e4e18,2024-09-18 13:13:38,2024-09-18 13:13:41,distilgpt2-124m,4,3.316,1.63,2.454
a861b6d6,2024-09-18 13:13:39,2024-09-18 13:13:47,gpt2medium-355m,4,7.82,5.146,0.777
e36cfd6b,2024-09-18 13:13:39,2024-09-18 13:13:47,gpt2medium-355m,4,7.543,5.146,0.777
23e9b002,2024-09-18 13:13:39,2024-09-18 13:13:47,gpt2medium-355m,4,7.5,5.146,0.777
3ea15fbe,2024-09-18 13:13:39,2024-09-18 13:13:47,gpt2medium-355m,4,7.42,5.146,0.777
c5a05000,2024-09-18 13:13:41,2024-09-18 13:13:48,distilgpt2-124m,4,7.087,1.032,3.876
f5c32606,2024-09-18 13:13:41,2024-09-18 13:13:48,distilgpt2-124m,4,6.562,1.032,3.876
5381ac9a,2024-09-18 13:13:42,2024-09-18 13:13:48,distilgpt2-124m,4,6.081,1.032,3.876
39b34cc7,2024-09-18 13:13:42,2024-09-18 13:13:48,distilgpt2-124m,4,5.991,1.032,3.876
dbdeac00,2024-09-18 13:13:41,2024-09-18 13:13:53,gpt2medium-355m,4,12.931,5.444,0.735
16daf942,2024-09-18 13:13:41,2024-09-18 13:13:53,gpt2medium-355m,4,12.543,5.444,0.735
1dcc4c54,2024-09-18 13:13:41,2024-09-18 13:13:53,gpt2medium-355m,4,12.495,5.444,0.735
9ace7123,2024-09-18 13:13:42,2024-09-18 13:13:53,gpt2medium-355m,4,11.941,5.444,0.735
32ffb0d8,2024-09-18 13:13:39,2024-09-18 13:13:56,gpt2-124m,4,16.667,1.978,2.022
320e78b0,2024-09-18 13:13:39,2024-09-18 13:13:56,gpt2-124m,4,16.041,1.978,2.022
66e480df,2024-09-18 13:13:40,2024-09-18 13:13:56,gpt2-124m,4,15.407,1.978,2.022
b2982c1d,2024-09-18 13:13:40,2024-09-18 13:13:56,gpt2-124m,4,15.191,1.978,2.022
