request_id,arrival time,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
b21d8c15,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,14.034,7.64,4.188
e2caa80d,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,13.88,7.64,4.188
1cf6e46f,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,13.773,7.64,4.188
420e6e1e,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,13.419,7.64,4.188
38b58f7c,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,13.38,7.64,4.188
a113da27,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,13.362,7.64,4.188
aa633eda,2024-09-19 11:23:59,2024-09-19 11:24:13,gpt2-124m,32,13.351,7.64,4.188
95657240,2024-09-19 11:24:00,2024-09-19 11:24:13,gpt2-124m,32,12.939,7.64,4.188
15dcfebe,2024-09-19 11:24:00,2024-09-19 11:24:13,gpt2-124m,32,12.842,7.64,4.188
54fb8101,2024-09-19 11:24:00,2024-09-19 11:24:13,gpt2-124m,32,12.674,7.64,4.188
16b86319,2024-09-19 11:24:00,2024-09-19 11:24:13,gpt2-124m,32,12.555,7.64,4.188
e93b7c56,2024-09-19 11:24:00,2024-09-19 11:24:13,gpt2-124m,32,12.312,7.64,4.188
b918e3d4,2024-09-19 11:24:01,2024-09-19 11:24:13,gpt2-124m,32,11.936,7.64,4.188
1a8e8e60,2024-09-19 11:24:01,2024-09-19 11:24:13,gpt2-124m,32,11.672,7.64,4.188
55786133,2024-09-19 11:24:01,2024-09-19 11:24:13,gpt2-124m,32,11.584,7.64,4.188
686eeb52,2024-09-19 11:24:01,2024-09-19 11:24:13,gpt2-124m,32,11.411,7.64,4.188
8cf8f00c,2024-09-19 11:24:01,2024-09-19 11:24:13,gpt2-124m,32,11.372,7.64,4.188
743448bc,2024-09-19 11:24:02,2024-09-19 11:24:13,gpt2-124m,32,11.046,7.64,4.188
117013c3,2024-09-19 11:24:02,2024-09-19 11:24:13,gpt2-124m,32,10.947,7.64,4.188
0323559b,2024-09-19 11:24:02,2024-09-19 11:24:13,gpt2-124m,32,10.719,7.64,4.188
50eff4f6,2024-09-19 11:24:03,2024-09-19 11:24:13,gpt2-124m,32,9.867,7.64,4.188
55b80d6b,2024-09-19 11:24:03,2024-09-19 11:24:13,gpt2-124m,32,9.781,7.64,4.188
a11fe300,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,9.108,7.64,4.188
b036e4bc,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,9.048,7.64,4.188
0ea20004,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,8.805,7.64,4.188
0349d6d2,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,8.643,7.64,4.188
f2e0cc70,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,8.613,7.64,4.188
6ab97368,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,8.511,7.64,4.188
fb262a31,2024-09-19 11:24:04,2024-09-19 11:24:13,gpt2-124m,32,8.338,7.64,4.188
fe080222,2024-09-19 11:24:05,2024-09-19 11:24:13,gpt2-124m,32,8.121,7.64,4.188
5cb183d9,2024-09-19 11:24:05,2024-09-19 11:24:13,gpt2-124m,32,7.818,7.64,4.188
792731f3,2024-09-19 11:24:05,2024-09-19 11:24:13,gpt2-124m,32,7.773,7.64,4.188
81a19755,2024-09-19 11:24:05,2024-09-19 11:24:15,gpt2-124m,6,9.144,1.763,3.403
2d6fedf6,2024-09-19 11:24:06,2024-09-19 11:24:15,gpt2-124m,6,9.031,1.763,3.403
939f4eed,2024-09-19 11:24:06,2024-09-19 11:24:15,gpt2-124m,6,8.752,1.763,3.403
29078904,2024-09-19 11:24:06,2024-09-19 11:24:15,gpt2-124m,6,8.682,1.763,3.403
c5cdb116,2024-09-19 11:24:06,2024-09-19 11:24:15,gpt2-124m,6,8.556,1.763,3.403
a7c25793,2024-09-19 11:24:06,2024-09-19 11:24:15,gpt2-124m,6,8.278,1.763,3.403
aa17925c,2024-09-19 11:23:59,2024-09-19 11:24:37,gpt2medium-355m,23,38.367,22.521,1.021
faaa37b4,2024-09-19 11:23:59,2024-09-19 11:24:37,gpt2medium-355m,23,37.917,22.521,1.021
19ae90f1,2024-09-19 11:24:00,2024-09-19 11:24:37,gpt2medium-355m,23,37.338,22.521,1.021
f59a4cfe,2024-09-19 11:24:01,2024-09-19 11:24:37,gpt2medium-355m,23,36.584,22.521,1.021
e63816fd,2024-09-19 11:24:01,2024-09-19 11:24:37,gpt2medium-355m,23,35.915,22.521,1.021
906807b5,2024-09-19 11:24:02,2024-09-19 11:24:37,gpt2medium-355m,23,35.738,22.521,1.021
72da3ec4,2024-09-19 11:24:02,2024-09-19 11:24:37,gpt2medium-355m,23,35.43,22.521,1.021
c675c188,2024-09-19 11:24:03,2024-09-19 11:24:37,gpt2medium-355m,23,34.717,22.521,1.021
6e93a408,2024-09-19 11:24:03,2024-09-19 11:24:37,gpt2medium-355m,23,34.551,22.521,1.021
ab1933e2,2024-09-19 11:24:03,2024-09-19 11:24:37,gpt2medium-355m,23,34.348,22.521,1.021
86b356ac,2024-09-19 11:24:03,2024-09-19 11:24:37,gpt2medium-355m,23,33.932,22.521,1.021
d66ebb49,2024-09-19 11:24:04,2024-09-19 11:24:37,gpt2medium-355m,23,33.6,22.521,1.021
70b17aa0,2024-09-19 11:24:05,2024-09-19 11:24:37,gpt2medium-355m,23,32.302,22.521,1.021
864da807,2024-09-19 11:24:05,2024-09-19 11:24:37,gpt2medium-355m,23,31.857,22.521,1.021
bee23808,2024-09-19 11:24:06,2024-09-19 11:24:37,gpt2medium-355m,23,31.634,22.521,1.021
4498b454,2024-09-19 11:24:06,2024-09-19 11:24:37,gpt2medium-355m,23,31.572,22.521,1.021
0db6f41b,2024-09-19 11:24:06,2024-09-19 11:24:37,gpt2medium-355m,23,30.973,22.521,1.021
95c6f968,2024-09-19 11:24:07,2024-09-19 11:24:37,gpt2medium-355m,23,30.356,22.521,1.021
2083c60a,2024-09-19 11:24:07,2024-09-19 11:24:37,gpt2medium-355m,23,30.291,22.521,1.021
849b8ecb,2024-09-19 11:24:07,2024-09-19 11:24:37,gpt2medium-355m,23,30.244,22.521,1.021
2ad8e4ed,2024-09-19 11:24:07,2024-09-19 11:24:37,gpt2medium-355m,23,30.202,22.521,1.021
7428d44e,2024-09-19 11:24:08,2024-09-19 11:24:37,gpt2medium-355m,23,29.487,22.521,1.021
c44a53a6,2024-09-19 11:24:08,2024-09-19 11:24:37,gpt2medium-355m,23,28.939,22.521,1.021
1767e373,2024-09-19 11:23:59,2024-09-19 11:24:42,distilgpt2-124m,29,42.107,4.162,6.968
fa0e7301,2024-09-19 11:24:01,2024-09-19 11:24:42,distilgpt2-124m,29,40.896,4.162,6.968
e9aa6e61,2024-09-19 11:24:01,2024-09-19 11:24:42,distilgpt2-124m,29,40.272,4.162,6.968
9edfc46f,2024-09-19 11:24:01,2024-09-19 11:24:42,distilgpt2-124m,29,40.181,4.162,6.968
b7134f5a,2024-09-19 11:24:02,2024-09-19 11:24:42,distilgpt2-124m,29,39.978,4.162,6.968
59d53ef0,2024-09-19 11:24:02,2024-09-19 11:24:42,distilgpt2-124m,29,39.769,4.162,6.968
9e1b7f96,2024-09-19 11:24:02,2024-09-19 11:24:42,distilgpt2-124m,29,39.53,4.162,6.968
