request_id,model,batch_size,latency,throughput
70e5f8a4,llama3-8b,1,13.138622974976897,0.45
00b624e1,llama3-8b,1,1.3964972189860418,16.271
ad1627da,granite-7b,1,20.89607633498963,0.642
fd0b6240,gemma-7b,1,29.675269340048544,0.562
a932bdd0,granite-7b,1,47.00756714795716,0.642
bfd4250c,llama3-8b,1,62.26488962897565,0.553
639f3fd7,llama3-8b,1,1.8238388960016891,0.549
a88d634b,llama3-8b,1,2.334039820008911,0.546
a6724e30,granite-7b,1,11.837421335978433,0.64
3cd6b046,gemma-7b,1,19.667510466999374,0.553
a39cb3f4,granite-7b,1,34.24754925596062,0.641
aeeee5d0,llama3-8b,1,50.390266556991264,0.557
cb2050d5,gemma-7b,1,68.44863791100215,0.563
