model_alias,batch_size,processing_time,throughput,processing_time_std
distilgpt2-124m,1,0.3287617583933752,3.3549999999999995,0.14731790523201382
distilgpt2-124m,2,0.471367324894527,4.287,0.050183078503318684
distilgpt2-124m,4,0.5746936333889607,7.016,0.05638647081235849
distilgpt2-124m,8,0.8453464710095432,9.567,0.09764281984176629
distilgpt2-124m,16,1.6134493833989836,10.417,0.39454727577982623
distilgpt2-124m,32,3.630098966811784,9.239999999999998,0.9588609027542295
gpt2-124m,1,0.4838898040994536,2.248,0.1998360042043537
gpt2-124m,2,0.6575975500978529,3.069,0.062376145769929114
gpt2-124m,4,0.9747580584080424,4.180000000000001,0.15036035416310217
gpt2-124m,8,1.2341995333088562,6.596000000000001,0.1782936226708601
gpt2-124m,16,2.6937789334973785,6.781999999999999,1.1002438266090782
gpt2-124m,32,5.497389095905237,5.926,0.7905656795498758
gpt2medium-355m,1,1.3737895166967065,0.784,0.5447826910843725
gpt2medium-355m,2,2.8611804458952976,0.6990000000000001,0.1375470668473438
gpt2medium-355m,4,3.5774187665898354,1.133,0.45409744552449177
gpt2medium-355m,8,5.01616622490692,1.7149999999999999,1.8338537105325616
gpt2medium-355m,16,9.6585006834066,1.762,2.688233510943466
gpt2medium-355m,32,17.24750672490918,1.9920000000000002,5.39089633453481
gptneo-125m,1,0.4659036999102682,2.348,0.20334904596396294
gptneo-125m,2,1.5407883666048292,1.309,0.15529516500683443
gptneo-125m,4,1.8278461169044022,2.196,0.12153038705456212
gptneo-125m,8,2.2126277084054893,3.684,0.32225618583714094
gptneo-125m,16,3.272395700000925,5.116,0.817274488341764
gptneo-125m,32,6.911354329198366,4.856,1.702861411632874
