model_alias,batch_size,processing_time,throughput
gpt2-124m,1,0.7346496050013229,1.36
gpt2-124m,1,0.24607242198544554,4.06
gpt2-124m,1,0.2170544249820523,4.61
gpt2-124m,1,0.2301342879945878,4.35
gpt2-124m,1,0.18461056900559925,5.42
gpt2-124m,2,0.27278291701804847,7.33
gpt2-124m,2,0.2654673939978238,7.53
gpt2-124m,2,0.2669631339958869,7.49
gpt2-124m,2,0.271758314978797,7.36
gpt2-124m,2,0.2613065559999086,7.65
gpt2-124m,4,0.28443141098250635,14.06
gpt2-124m,4,0.27558108599623665,14.51
gpt2-124m,4,0.27741763199446723,14.42
gpt2-124m,4,0.27424195999628864,14.59
gpt2-124m,4,0.27834833500673994,14.37
gpt2-124m,8,0.2807746719918214,28.49
gpt2-124m,8,0.27967854298185557,28.6
gpt2-124m,8,0.27713730800314806,28.87
gpt2-124m,8,0.27560948600876145,29.03
gpt2-124m,8,0.27879661397309974,28.69
gpt2-124m,16,0.29704663701704703,53.86
gpt2-124m,16,0.278608938009711,57.43
gpt2-124m,16,0.2816033599956427,56.82
gpt2-124m,16,0.27964222300215624,57.22
gpt2-124m,16,0.2812990350066684,56.88
gpt2-124m,32,0.3070434760011267,104.22
gpt2-124m,32,0.32648007999523543,98.02
gpt2-124m,32,0.31991558798472397,100.03
gpt2-124m,32,0.30062977701891214,106.44
gpt2-124m,32,0.30405939399497584,105.24
gpt2-124m,64,0.3400014190119691,188.23
gpt2-124m,64,0.33627645700471476,190.32
gpt2-124m,64,0.3488229519862216,183.47
gpt2-124m,64,0.34726920098182745,184.3
gpt2-124m,64,0.3337013309937902,191.79
gpt2-124m,128,0.41570980098913424,307.91
gpt2-124m,128,0.3998974589922,320.08
gpt2-124m,128,0.4372042819741182,292.77
gpt2-124m,128,0.4592092710081488,278.74
gpt2-124m,128,0.40251329602324404,318.0
gpt2-124m,256,0.716290887008654,357.4
gpt2-124m,256,0.7180583710141946,356.52
gpt2-124m,256,0.671700562001206,381.12
gpt2-124m,256,0.71520784299355,357.94
gpt2-124m,256,0.7330237409914844,349.24
gpt2-124m,512,1.3116803290031385,390.34
gpt2-124m,512,1.2967499789956491,394.83
gpt2-124m,512,1.2951666669978295,395.32
gpt2-124m,512,1.2934085419983603,395.85
gpt2-124m,512,1.2989505190053023,394.16
gpt2-124m,1024,2.4445430590130854,418.89
gpt2-124m,1024,2.4740048829989973,413.9
gpt2-124m,1024,2.4420714029984083,419.32
gpt2-124m,1024,2.4415881269960664,419.4
gpt2-124m,1024,2.441069520020392,419.49
gpt2-124m,2048,4.918440829002066,416.39
gpt2-124m,2048,4.796648452000227,426.96
gpt2-124m,2048,4.793372576008551,427.26
gpt2-124m,2048,4.789080746006221,427.64
gpt2-124m,2048,4.8268790660076775,424.29
gpt2-124m,4096,None,None
distilgpt2-124m,1,0.046480613003950566,21.51
distilgpt2-124m,1,0.16021744901081547,6.24
distilgpt2-124m,1,0.1601312569982838,6.24
distilgpt2-124m,1,0.04145754297496751,24.12
distilgpt2-124m,1,0.16102765200776048,6.21
distilgpt2-124m,2,0.17631154699483886,11.34
distilgpt2-124m,2,0.16533047100529075,12.1
distilgpt2-124m,2,0.17890433300635777,11.18
distilgpt2-124m,2,0.1764134269906208,11.34
distilgpt2-124m,2,0.17593549998127855,11.37
distilgpt2-124m,4,0.18175180500838906,22.01
distilgpt2-124m,4,0.19085736898705363,20.96
distilgpt2-124m,4,0.19073099800152704,20.97
distilgpt2-124m,4,0.1803673329995945,22.18
distilgpt2-124m,4,0.18375183001626283,21.77
distilgpt2-124m,8,0.18652519799070433,42.89
distilgpt2-124m,8,0.18178561099921353,44.01
distilgpt2-124m,8,0.19038981199264526,42.02
distilgpt2-124m,8,0.18053507400327362,44.31
distilgpt2-124m,8,0.1802870600076858,44.37
distilgpt2-124m,16,0.19003156697726808,84.2
distilgpt2-124m,16,0.18483745501725934,86.56
distilgpt2-124m,16,0.19627697998657823,81.52
distilgpt2-124m,16,0.1888760129804723,84.71
distilgpt2-124m,16,0.18789870900218375,85.15
distilgpt2-124m,32,0.20561463700141758,155.63
distilgpt2-124m,32,0.2037771100003738,157.03
distilgpt2-124m,32,0.20762695401208475,154.12
distilgpt2-124m,32,0.20336660399334505,157.35
distilgpt2-124m,32,0.21044964299653657,152.06
distilgpt2-124m,64,0.23413267600699328,273.35
distilgpt2-124m,64,0.22958599199773744,278.76
distilgpt2-124m,64,0.23576989999855869,271.45
distilgpt2-124m,64,0.23533702301210724,271.95
