model_alias,batch_size,processing_time,throughput
granite-7b,1,1.4841764250004417,0.67
granite-7b,1,0.824339757999951,1.21
granite-7b,1,0.8260681100000511,1.21
granite-7b,1,0.8401345699994636,1.19
granite-7b,1,0.8297135530001469,1.21
granite-7b,2,0.8688897279998855,2.3
granite-7b,2,0.8363851060003071,2.39
granite-7b,2,0.8163179600005606,2.45
granite-7b,2,0.8463290390000111,2.36
granite-7b,2,0.8322052540006553,2.4
granite-7b,4,0.8378466080002909,4.77
granite-7b,4,0.8135851910001293,4.92
granite-7b,4,0.8339559519999966,4.8
granite-7b,4,0.9039478290005718,4.43
granite-7b,4,0.8197482529994886,4.88
granite-7b,8,0.8975751879997915,8.91
granite-7b,8,0.9341144829995756,8.56
granite-7b,8,0.9838989760000914,8.13
granite-7b,8,0.9813932490005755,8.15
granite-7b,8,0.9129224039998007,8.76
granite-7b,16,1.3430829979997725,11.91
granite-7b,16,1.3375038679996578,11.96
granite-7b,16,1.368565256999318,11.69
granite-7b,16,1.3410233380000136,11.93
granite-7b,16,1.3691671249998763,11.69
granite-7b,32,1.8369026960008341,17.42
granite-7b,32,1.6868459600000278,18.97
granite-7b,32,1.7745165569995152,18.03
granite-7b,32,1.5201148619999003,21.05
granite-7b,32,1.8208928800004287,17.57
granite-7b,64,3.0023823910005376,21.32
granite-7b,64,3.000682785999743,21.33
granite-7b,64,3.3967689390001397,18.84
granite-7b,64,3.39553430199976,18.85
granite-7b,64,3.2179778689996965,19.89
granite-7b,128,5.851798345000134,21.87
granite-7b,128,5.911333314000331,21.65
granite-7b,128,5.862162071000057,21.83
granite-7b,128,6.330800024999917,20.22
granite-7b,128,5.910171688999981,21.66
granite-7b,256,12.365323195999736,20.7
granite-7b,256,12.375188365000213,20.69
granite-7b,256,11.53273115399952,22.2
granite-7b,256,12.361290379999446,20.71
granite-7b,256,12.356376949999685,20.72
granite-7b,512,None,None
gemma-7b,1,0.9101429759994062,1.1
gemma-7b,1,0.9354859529994428,1.07
gemma-7b,1,0.9357728770000904,1.07
gemma-7b,1,0.9383299329992951,1.07
gemma-7b,1,0.9305906130002768,1.07
gemma-7b,2,0.9483596840000246,2.11
gemma-7b,2,0.9266468069999974,2.16
gemma-7b,2,0.9321139359999506,2.15
gemma-7b,2,0.944038353999531,2.12
gemma-7b,2,0.9385960879999402,2.13
gemma-7b,4,0.944371388000036,4.24
gemma-7b,4,0.9122393950001424,4.38
gemma-7b,4,0.936944563999532,4.27
gemma-7b,4,0.9187192449999202,4.35
gemma-7b,4,0.9319059339995874,4.29
gemma-7b,8,1.3368187659998512,5.98
gemma-7b,8,1.2477587540006425,6.41
gemma-7b,8,1.1251282430002902,7.11
gemma-7b,8,1.0977313009998397,7.29
gemma-7b,8,1.294503357999929,6.18
gemma-7b,16,1.549970021000263,10.32
gemma-7b,16,1.3462152719994265,11.89
gemma-7b,16,1.4284766290002153,11.2
gemma-7b,16,1.3035928690005676,12.27
gemma-7b,16,1.442262794999806,11.09
gemma-7b,32,2.2566614410006878,14.18
gemma-7b,32,2.261181826000211,14.15
gemma-7b,32,1.7113579879996905,18.7
gemma-7b,32,2.4084727399995245,13.29
gemma-7b,32,2.409558876000119,13.28
gemma-7b,64,3.5345324300005814,18.11
gemma-7b,64,3.537077185999806,18.09
gemma-7b,64,3.533280270999967,18.11
gemma-7b,64,3.55804961099966,17.99
gemma-7b,64,3.5369750939998994,18.09
gemma-7b,128,7.022098666999227,18.23
gemma-7b,128,7.02583549099927,18.22
gemma-7b,128,7.021531970000069,18.23
gemma-7b,128,6.486542289999306,19.73
gemma-7b,128,6.393455127999914,20.02
gemma-7b,256,None,None
llama3-8b,1,1.018410693000078,0.98
llama3-8b,1,0.06637197600048239,15.07
llama3-8b,1,0.938121449999926,1.07
llama3-8b,1,0.9325898330007476,1.07
llama3-8b,1,0.9335918759998094,1.07
llama3-8b,2,0.9663039080005547,2.07
llama3-8b,2,0.9363731170005849,2.14
llama3-8b,2,0.9371554750005089,2.13
llama3-8b,2,0.9741508179995435,2.05
llama3-8b,2,0.9412815650002813,2.12
llama3-8b,4,0.9248156820003715,4.33
llama3-8b,4,0.9167852990003666,4.36
llama3-8b,4,0.9207897569995112,4.34
llama3-8b,4,0.920988128999852,4.34
llama3-8b,4,0.9377239549994556,4.27
llama3-8b,8,1.2227890989997832,6.54
llama3-8b,8,1.0482732119999127,7.63
llama3-8b,8,1.0512212450003062,7.61
llama3-8b,8,1.0502455499999996,7.62
llama3-8b,8,1.1281549989998894,7.09
llama3-8b,16,1.3149461920002068,12.17
llama3-8b,16,1.5493407839994688,10.33
llama3-8b,16,1.4807654670003103,10.81
llama3-8b,16,1.307116300999951,12.24
llama3-8b,16,1.3840348540006744,11.56
llama3-8b,32,2.076882698999725,15.41
llama3-8b,32,2.1517239320000954,14.87
llama3-8b,32,2.3832903960001204,13.43
llama3-8b,32,2.027067444999375,15.79
llama3-8b,32,1.685751644999982,18.98
llama3-8b,64,3.3972741050001787,18.84
llama3-8b,64,2.8966490799994062,22.09
llama3-8b,64,3.2718560180001077,19.56
