model_alias,batch_size,processing_time,throughput,processing_time_std,throughput_std
gemma-7b,1,0.9095854372018948,1.1,0.01954792813459058,0.02449489742783181
gemma-7b,2,0.9707426000968553,2.0629999999999997,0.024932711399747218,0.052503968104007766
gemma-7b,3,0.974784072098555,3.084,0.05205017314115224,0.15671630419327795
gemma-7b,4,1.0074965134059313,3.9799999999999995,0.05342429471596498,0.2132291412229262
gemma-7b,6,1.130917208592291,5.338,0.09570372938585175,0.41800584791230955
gemma-7b,7,1.2562657321977895,5.649,0.16621863289986807,0.6419146706879693
gemma-7b,8,1.3213888606056572,6.067,0.06478800625137197,0.2877518220813053
gemma-7b,11,1.4878311851032777,7.516,0.21559823974588768,0.9447068916394707
gemma-7b,13,1.5940908000979106,8.356,0.30796920273600653,1.1698072015887444
gemma-7b,16,1.9013492027006578,8.568000000000001,0.2839714386990302,1.1402222005673575
gemma-7b,19,2.2568768897035625,8.82,0.5287919725629132,1.9142854773750149
gemma-7b,23,2.65671440330334,8.905,0.5172538592384274,1.4430157464298317
gemma-7b,29,2.8941801295004552,10.242,0.4824603005065399,1.4883533033374692
gemma-7b,32,3.0765360224002505,10.892,0.7405541316152486,2.297722543931031
gemma-7b,37,4.199360132901347,9.242,0.9878806767820546,2.0698029965299702
gemma-7b,47,4.686056892198394,10.353,0.895136544668614,1.908426053060479
gemma-7b,51,4.427968515802059,11.619,0.4423299337128647,1.1433328474245807
gemma-7b,64,6.566347107096226,10.049,1.2254241213608357,1.8430677928087424
gemma-7b,71,7.50487850989739,9.717,1.3287319936804378,1.6531925343273104
gemma-7b,83,7.937782022502506,10.697,1.2966070137872558,1.6767233257490965
gemma-7b,91,9.124200306701823,10.11,1.122663501220895,1.2348459193131929
gemma-7b,100,8.44501083449868,11.99,1.018852820659638,1.3807324948092665
gemma-7b,112,9.88167919133169,11.333333333333334,0.12260181056188763,0.14011899704655867
granite-7b,1,0.8483663896040525,1.194,0.12014761980112872,0.12518430856585466
granite-7b,2,0.8106362279999303,2.467,0.01781402252781014,0.055186552307202145
granite-7b,3,0.8476953378005418,3.5450000000000004,0.030240603156505272,0.12651306476232224
granite-7b,4,0.8969927216006909,4.470000000000001,0.04611812558692002,0.2300724523564989
granite-7b,6,0.9934426307037938,6.117,0.12413787012604136,0.6962446887888388
granite-7b,7,0.9586885351018282,7.329000000000001,0.06353054756639633,0.46693920613097173
granite-7b,8,1.1365998581051826,7.0840000000000005,0.09731144508766945,0.5994664294186957
granite-7b,11,1.5234840580000308,7.428,0.3037959658316862,1.1646153394528551
granite-7b,13,1.5370613587001571,8.661,0.265214668255571,1.3257907493685086
granite-7b,16,1.7465060843998799,9.399000000000001,0.3117082987367518,1.5215083889935594
granite-7b,19,1.8527392873977078,10.459999999999999,0.2872009135635606,1.491084616423003
granite-7b,23,2.2134054337977433,10.779,0.4732294724922868,2.0424084366801423
granite-7b,29,2.629365825804416,11.231,0.3964317945245952,1.509940764106695
granite-7b,32,3.329808131509344,10.109,0.7949248042073224,2.3905901177556794
granite-7b,37,3.036554546401021,12.593,0.6154336810168827,2.2769426382273616
granite-7b,47,4.316452456801199,11.627,1.230637114701142,2.9407635063024027
granite-7b,51,5.030577481599176,10.53,0.9728949399371075,2.2719986306725137
granite-7b,64,5.893115204497008,11.303999999999998,1.3406720646422856,2.2309449916023376
granite-7b,71,6.848780156602151,10.728,1.3148451685446523,2.116432007989967
granite-7b,83,7.364043968202895,11.471,1.0534114517845377,1.5693200934020937
granite-7b,91,7.420126451994292,12.26,,
llama3-8b,1,0.9289968446282728,1.0775000000000001,0.028979830955650956,0.03058944729337693
llama3-8b,2,0.937763326294953,2.1350000000000002,0.02556817715327532,0.05622375931144338
llama3-8b,3,0.9514721141953487,3.1550000000000002,0.019510846578498414,0.0658702428178984
llama3-8b,4,0.9647061289957491,4.1530000000000005,0.041062122336767405,0.17657544814862824
llama3-8b,6,1.1185807533998742,5.39,0.08377824044146008,0.3824191998899172
llama3-8b,7,1.293255668898928,5.46,0.127106308368091,0.5368840139587362
llama3-8b,8,1.4941323228005785,5.539,0.29217874592683696,1.0403466302685422
llama3-8b,11,1.5443288959009807,7.257,0.22791253231875908,1.0126209118476228
llama3-8b,13,1.6940496812021593,7.7540000000000004,0.18137291269999237,0.8332026564207934
llama3-8b,16,1.7050575204950291,9.433,0.12768249511362803,0.7116654957055157
llama3-8b,19,2.039288752694847,9.485,0.30673810223052234,1.2616149262838572
llama3-8b,23,2.2776090874016517,10.211,0.27045113999652254,1.0739382353437894
llama3-8b,29,3.2410462633997668,9.262,0.5866824479070021,1.9504461028185325
llama3-8b,32,2.9831372018990807,10.996,0.49985036858693566,1.793569996775518
llama3-8b,37,3.085785626899451,12.161,0.41381689923984527,1.4243864176081809
llama3-8b,47,4.302893155394122,11.087,0.5550286822799267,1.4170395587671893
llama3-8b,51,4.871641502992134,10.770999999999999,0.8609553577089298,1.915727016043778
llama3-8b,64,5.908995622795191,11.32,1.355785165800468,2.4104172068567524
llama3-8b,71,7.152191190698067,10.326,1.4968913773291666,2.153494318027744
llama3-8b,83,8.433178599798703,10.128,1.4559479071165111,1.8830754985749603
llama3-8b,91,9.114496224094182,10.271,1.6477547806877637,1.784553787987973
llama3-8b,100,9.802703842005576,10.908,2.699820789544666,2.8908237964674055
llama3-8b,112,10.89008628189913,10.468,1.469503012314097,1.5139558191117142
llama3-8b,128,12.277889889801736,10.609,1.6198036583623945,1.552005512590439
llama3-8b,144,15.016310675101703,9.879999999999999,2.7114704673582515,1.8057008488549695
llama3-8b,256,,,,
